slot,core_id,band,plus,minus,plane
877,784,28,102421,98318,yes
878,785,24,3021,3021,yes
879,786,31,394279,389326,yes
880,787,30,204833,206283,yes
881,788,28,101365,102192,yes
882,789,28,57106,49131,yes
883,790,29,103183,102937,yes
884,791,29,199098,202487,yes
885,792,28,98559,98168,yes
886,793,26,24644,24744,yes
887,794,29,195011,200225,yes
888,649,31,775436,790696,yes
889,795,26,24392,24522,yes
890,796,20,365,353,yes
891,797,27,49235,49200,yes
892,798,26,12374,12368,yes
893,799,31,399065,395267,yes
894,119,30,49144,49168,yes
895,800,28,48981,49206,yes
896,801,29,203690,202939,yes
897,802,27,49258,49130,yes
898,803,28,98529,102502,yes
899,270,33,199956,204930,yes
900,804,29,208740,204717,yes
901,805,30,388998,393543,yes
902,806,31,768039,772292,yes
903,807,30,391756,399476,yes
904,808,31,753024,759465,yes
905,809,27,49154,49872,yes
906,810,29,97584,98215,yes
907,811,27,28427,24616,yes
908,812,26,24326,24698,yes
909,813,35,267885,266634,yes
910,814,26,28484,24685,yes
911,815,29,202968,195716,yes
912,816,28,106274,99604,yes
913,817,28,102228,98358,yes
914,818,35,54922,55261,yes
915,819,28,102799,101893,yes
916,820,27,48946,48712,yes
917,153,31,99219,97652,yes
918,821,24,6115,6102,yes
919,822,27,12018,12190,yes
920,823,31,196005,200249,yes
921,824,26,24583,25185,yes
922,825,30,201103,204204,yes
923,826,25,12201,12041,yes
924,827,31,208031,206521,yes
925,828,32,769517,756163,yes
926,829,30,207696,203520,yes
927,830,35,142693,142694,yes
928,831,31,773093,768420,yes
929,832,28,102250,106467,yes
930,833,29,196656,195489,yes
931,834,29,199985,195876,yes
932,146,35,74202,73674,yes
933,835,28,98255,98512,yes
934,836,28,98171,98421,yes
935,90,32,393882,400032,yes
936,837,29,204883,195342,yes
937,838,28,49115,49038,yes
938,839,29,200109,200608,yes
939,840,36,157623,157359,yes
940,572,30,101842,102112,yes
941,254,30,98639,101712,yes
942,841,28,24760,24598,yes
943,842,31,395407,397538,yes
944,843,26,12605,12213,yes
945,844,31,396124,408215,yes
946,444,31,196365,195943,yes
947,845,30,397604,397285,yes
948,846,25,12263,12343,yes
949,847,28,106235,101952,yes
950,848,32,394993,396790,yes
951,849,29,204178,199855,yes
952,850,23,3040,3120,yes
953,851,30,209433,201759,yes
954,852,30,400551,396534,yes
955,853,28,48869,52675,yes
956,854,35,385877,385173,yes
957,855,35,616944,619064,yes
958,856,28,97921,98275,yes
959,857,29,196032,204248,yes
960,858,30,402082,393274,yes
961,721,30,28104,24532,yes
962,859,29,204695,196348,yes
963,860,35,360819,362190,yes
964,543,33,200037,200301,yes
965,861,27,24562,24678,yes
966,862,28,52952,49415,yes
967,863,27,53872,52877,yes
968,864,29,102358,97963,yes
969,865,26,25087,27916,yes
970,866,27,24732,24925,yes
971,867,28,49399,49110,yes
972,868,26,24956,28297,yes
973,869,26,24739,28284,yes
974,870,30,200070,212248,yes
975,871,27,49066,48695,yes
976,872,28,102400,97820,yes
977,575,32,201010,200139,yes
978,873,30,98324,97599,yes
979,874,31,395620,389963,yes
980,875,28,102054,98222,yes
981,467,30,28056,24457,yes
982,876,27,49074,49463,yes
983,461,31,101710,98677,yes
984,877,28,102726,101908,yes
985,878,28,49269,49369,yes
986,879,29,49182,49549,yes
987,880,30,200088,200632,yes
988,617,30,97984,102163,yes
989,881,35,519098,519874,yes
990,882,29,196168,196446,yes
991,883,28,101618,98215,yes
992,884,24,6074,6094,yes
993,885,28,105938,102458,yes
994,886,29,200015,194832,yes
995,491,31,195508,200514,yes
996,887,29,200041,195237,yes
997,888,29,195526,199420,yes
998,162,36,147036,151346,yes
999,567,27,12239,12398,yes
1000,889,29,204836,196956,yes
1001,382,35,435210,435626,yes
1002,890,28,98844,97996,yes
1003,891,28,24472,24445,yes
1004,892,30,394921,403495,yes
1005,893,29,98847,102036,yes
1006,891,29,195403,198902,yes
1007,894,35,302218,302720,yes
1008,540,31,48981,48358,yes
1009,486,37,146955,147124,yes
1010,895,40,129735,130018,yes
1011,896,29,195390,203582,yes
1012,897,27,49036,49156,yes
1013,320,32,98792,102288,yes
1014,898,37,310949,312137,yes
1015,899,29,97599,98275,yes
1016,900,28,102144,98500,yes
1017,388,34,37055,37066,yes
1018,901,26,24865,24532,yes
1019,92,33,52756,53308,yes
1020,902,22,1559,1488,yes
1021,903,27,60718,52729,yes
1022,904,31,199332,210236,yes
1023,905,26,24625,24462,yes
1024,616,32,195838,199859,yes
1025,906,28,98223,101912,yes
1026,907,30,392428,393092,yes
1027,908,32,398367,399820,yes
1028,909,28,48904,52970,yes
1029,26,32,196479,199034,yes
1030,564,30,49481,49140,yes
1031,910,28,98741,98333,yes
1032,369,29,49410,48931,yes
1033,911,31,389494,397668,yes
1034,912,35,118239,117761,yes
1035,913,35,283765,283876,yes
1036,221,30,97640,102374,yes
1037,914,30,195114,198985,yes
1038,915,30,101928,98459,yes
1039,916,27,48674,49334,yes
1040,917,26,24321,25280,yes
1041,918,26,24513,24498,yes
1042,638,32,204191,204110,yes
1043,466,33,397450,392750,yes
1044,919,27,49529,49158,yes
1045,920,26,24851,24770,yes
1046,921,26,24984,24604,yes
1047,922,37,396902,397119,yes
1048,923,36,292568,292716,yes
1049,924,27,24395,24553,yes
1050,925,27,49471,49285,yes
1051,926,29,98302,97821,yes
1052,927,27,24337,24688,yes
1053,928,28,24593,24316,yes
1054,929,27,48903,49151,yes
1055,930,29,97972,101508,yes
1056,556,31,49649,49702,yes
1057,931,24,6116,6069,yes
1058,932,27,49304,49255,yes
1059,697,32,195732,195349,yes
1060,933,26,6228,6104,yes
1061,934,27,48895,49172,yes
1062,935,28,97811,98067,yes
1063,174,33,98617,101924,yes
1064,936,25,12419,12500,yes
1065,937,29,53911,49210,yes
1066,938,30,98516,98734,yes
1067,877,27,12224,12163,yes
1068,472,30,98945,98502,yes
1069,939,26,24770,24489,yes
1070,940,35,71319,71093,yes
1071,941,28,49132,49582,yes
1072,942,29,98308,98412,yes
1073,180,31,12236,12495,yes
1074,943,27,6091,6005,yes
1075,944,30,201024,203940,yes
1076,945,28,48977,49157,yes
1077,946,30,208422,196514,yes
1078,947,24,3094,3059,yes
1079,948,29,207304,200100,yes
1080,628,29,24499,24772,yes
1081,949,26,12201,12315,yes
1082,950,24,3024,3149,yes
1083,951,27,49256,48799,yes
1084,952,27,49516,49158,yes
1085,953,27,49178,52711,yes
1086,954,23,3110,3016,yes
1087,943,28,49472,49107,yes
1088,56,33,215684,196106,yes
1089,955,29,98320,102294,yes
1090,956,29,204158,194707,yes
1091,450,27,49294,49815,yes
1092,602,29,48947,49183,yes
1093,957,26,24553,24585,yes
1094,958,26,24480,24617,yes
1095,4,29,49059,48462,yes
1096,959,29,101906,103789,yes
1097,960,26,12253,12216,yes
1098,961,27,49144,49041,yes
1099,962,26,12378,12145,yes
1100,963,25,6132,6159,yes
1101,964,32,399363,401757,yes
1102,459,30,98695,98234,yes
1103,965,30,199739,196179,yes
1104,966,27,53203,53064,yes
1105,967,27,24450,25003,yes
1106,968,27,52386,49018,yes
1107,969,29,97712,98371,yes
1108,970,26,24636,24509,yes
1109,346,36,107397,107644,yes
1110,971,24,6091,6045,yes
1111,972,29,200014,195739,yes
1112,973,28,98048,101183,yes
1113,974,25,12437,12388,yes
1114,975,25,12230,12362,yes
1115,583,31,196402,207668,yes
1116,976,28,98112,105910,yes
1117,977,26,24829,24813,yes
1118,978,26,24934,24497,yes
1119,979,28,102052,98974,yes
1120,980,26,6189,6051,yes
1121,981,25,6278,6275,yes
1122,982,27,49434,52978,yes
1123,983,30,388689,393648,yes
1124,984,28,105994,98005,yes
1125,985,27,49395,49215,yes
1126,986,35,151237,152500,yes
1127,790,28,12136,12422,yes
1128,987,25,12357,12421,yes
1129,988,26,24369,24996,yes
1130,989,27,49504,48796,yes
1131,32,33,105938,106524,yes
1132,517,29,24691,24601,yes
1133,990,25,1512,1569,yes
1134,991,27,48995,57045,yes
1135,363,29,28405,24832,yes
1136,992,26,24646,24879,yes
1137,993,26,24569,24384,yes
1138,994,29,98253,98259,yes
1139,995,27,24708,24779,yes
1140,996,30,203688,199579,yes
1141,997,27,24720,28334,yes
1142,457,30,48995,49214,yes
1143,998,25,12143,12299,yes
1144,892,29,48894,48897,yes
1145,999,26,24244,24359,yes
1146,635,31,201168,196336,yes
1147,1000,28,52976,48718,yes
1148,318,30,49173,49062,yes
1149,115,32,99025,101525,yes
1150,1001,25,12303,12462,yes
1151,1002,35,97972,97917,yes
1152,1003,25,12109,12719,yes
1153,1004,28,106380,102199,yes
1154,1005,28,98951,106131,yes
1155,1006,29,98353,101508,yes
1156,690,30,49195,52945,yes
1157,1007,26,12397,12225,yes
1158,829,28,1443,1823,yes
1159,1008,25,6170,5957,yes
1160,661,30,12144,12359,yes
1161,471,28,24504,25267,yes
1162,1009,35,207872,208400,yes
1163,941,27,5993,6144,yes
1164,1010,24,6199,6317,yes
1165,1011,25,12297,12354,yes
1166,1012,25,12304,12153,yes
1167,1013,27,49505,53359,yes
1168,1014,28,98325,98128,yes
1169,1015,22,763,767,yes
1170,270,35,125677,125752,yes
1171,1016,21,746,734,yes
1172,1017,27,49497,49202,yes
1173,1018,25,12239,12165,yes
1174,1019,26,24398,24978,yes
1175,1020,28,48968,48795,yes
1176,1021,27,49373,53023,yes
1177,1022,28,53321,48817,yes
1178,1023,25,12362,12318,yes
1179,1024,27,52719,48453,yes
1180,1025,28,49644,49061,yes
1181,1026,26,24663,24595,yes
1182,1027,27,53020,49232,yes
1183,1028,21,763,732,yes
1184,1029,28,98773,101900,yes
1185,1030,25,3013,3094,yes
1186,1031,26,16425,12088,yes
1187,483,28,24476,24669,yes
1188,1032,35,183969,183917,yes
1189,1033,35,58788,58452,yes
1190,1034,27,49491,53015,yes
1191,1035,29,102659,98127,yes
1192,1036,24,6175,6102,yes
1193,1037,28,97855,98726,yes
1194,1038,26,24644,24917,yes
1195,1039,25,12170,12757,yes
1196,628,28,3061,3034,yes
1197,1040,28,98885,98400,yes
1198,804,28,24569,24504,yes
1199,1041,27,24717,24726,yes
1200,1042,24,6282,6160,yes
1201,1043,28,102655,101978,yes
1202,1044,28,24272,24614,yes
1203,1045,20,335,368,yes
1204,707,29,207553,199909,yes
1205,264,29,52899,48794,yes
1206,1046,26,12235,12326,yes
1207,1047,28,97902,99515,yes
1208,1048,27,24284,24821,yes
1209,1049,17,46,43,yes
1210,1050,25,6133,6246,yes
1211,1051,25,6184,10072,yes
1212,145,30,97586,102013,yes
1213,1052,27,49538,52721,yes
1214,1053,35,161826,162120,yes
1215,1054,28,97836,98142,yes
1216,1055,36,53114,53790,yes
1217,1056,28,98085,101883,yes
1218,1057,27,53019,48863,yes
1219,1058,20,413,397,yes
1220,1059,28,105695,97479,yes
1221,683,26,3130,3004,yes
1222,573,36,373144,374439,yes
1223,1060,27,49256,48831,yes
1224,1061,39,215191,215092,yes
1225,1062,24,6037,6185,yes
1226,1063,26,24581,24300,yes
1227,1064,28,101814,98613,yes
1228,1065,27,53302,52822,yes
1229,1066,35,62860,62454,yes
1230,1067,28,98324,102287,yes
1231,1068,27,24702,24586,yes
1232,899,28,18840,12231,yes
1233,1069,25,12166,12136,yes
1234,1070,26,12254,12011,yes
1235,1071,27,53672,49074,yes
1236,1072,25,12191,12387,yes
1237,218,29,48994,49434,yes
1238,1073,26,24562,24737,yes
1239,372,35,172698,172785,yes
1240,1074,24,10010,6205,yes
1241,1075,24,6071,6181,yes
1242,1076,24,5944,6109,yes
1243,1077,27,24828,24366,yes
1244,1078,29,97971,102335,yes
1245,1079,28,49525,49283,yes
1246,1080,23,2945,3031,yes
1247,1081,25,3050,3057,yes
1248,603,29,49473,49586,yes
1249,1082,24,6224,6090,yes
1250,1083,25,12211,12220,yes
1251,1084,27,49438,49388,yes
1252,1085,23,1516,1543,yes
1253,1086,23,2936,3122,yes
1254,1087,23,3148,3295,yes
1255,1088,24,6030,6060,yes
1256,1089,26,24561,24703,yes
1257,1090,28,98282,102329,yes
1258,875,27,6235,6153,yes
1259,459,29,12285,12792,yes
1260,1091,25,12232,12501,yes
1261,1092,29,52989,49565,yes
1262,1093,27,24572,24596,yes
1263,926,28,12308,12301,yes
1264,848,31,52379,49536,yes
1265,1094,25,12183,12293,yes
1266,1095,24,3045,2959,yes
1267,766,28,25064,24582,yes
1268,1096,25,12332,12301,yes
1269,997,26,3107,3185,yes
1270,1097,29,103367,99320,yes
1271,1098,24,6084,6175,yes
1272,434,29,52956,48935,yes
1273,1099,28,24684,24543,yes
1274,1100,28,52800,49052,yes
1275,438,33,18655,22085,yes
1276,1101,26,12227,12152,yes
1277,1102,22,361,363,yes
1278,1103,27,49706,48943,yes
1279,1104,25,12305,12484,yes
1280,1105,28,106210,98670,yes
1281,276,29,28398,28481,yes
1282,1106,23,3073,3052,yes
1283,1107,27,48860,49117,yes
1284,1108,27,24938,24302,yes
1285,1109,28,49459,49037,yes
1286,1110,25,12359,12255,yes
1287,1111,24,6098,6326,yes
1288,1112,25,12166,12478,yes
1289,60,29,49579,49580,yes
1290,550,29,12328,12484,yes
1291,1113,24,6085,6057,yes
1292,1114,25,12301,12244,yes
1293,1115,26,24386,24731,yes
1294,1116,19,194,211,yes
1295,1117,21,406,389,yes
1296,1118,24,6509,6333,yes
1297,1119,24,796,716,yes
1298,1120,25,12213,12316,yes
1299,1121,27,53416,48750,yes
1300,1122,26,24798,24550,yes
1301,310,32,49379,49630,yes
1302,1123,26,24319,24736,yes
1303,1124,21,711,778,yes
1304,1125,26,12248,12475,yes
1305,1126,25,16165,11986,yes
1306,1127,37,114615,114799,yes
1307,1128,28,48948,52882,yes
1308,1129,26,28137,24558,yes
1309,1130,24,6156,6210,yes
1310,1131,24,3016,3047,yes
1311,1030,26,24383,24661,yes
1312,1132,26,16030,12303,yes
1313,1133,26,24689,24571,yes
1314,841,27,3167,3081,yes
1315,106,32,49163,49090,yes
1316,1134,23,3001,3100,yes
1317,1135,27,49313,49211,yes
1318,1136,26,12551,15808,yes
1319,730,30,24752,25341,yes
1320,1137,25,12368,12323,yes
1321,1138,26,24486,24505,yes
1322,1139,28,49407,49094,yes
1323,1140,26,24949,25196,yes
1324,1141,27,12121,16053,yes
1325,374,28,12066,12117,yes
1326,1142,27,28384,24416,yes
1327,1143,29,53027,49261,yes
1328,1144,27,48845,49422,yes
1329,1145,23,3094,3101,yes
1330,1146,26,24958,24484,yes
1331,1147,36,83502,83670,yes
1332,1148,24,771,811,yes
1333,1149,22,1540,1488,yes
1334,1150,26,24754,28508,yes
1335,1151,28,97859,98086,yes
1336,1152,28,24543,24707,yes
1337,1153,23,3074,3055,yes
1338,1154,25,12328,15844,yes
1339,1155,24,6066,6024,yes
1340,829,29,12204,19260,yes
1341,1156,27,24336,24573,yes
1342,1157,26,12235,12301,yes
1343,1158,28,49140,49133,yes
1344,1159,26,12273,12218,yes
1345,1160,25,12156,12245,yes
1346,3,39,78148,77572,yes
1347,549,28,24415,24784,yes
1348,1161,36,77477,77152,yes
1349,1162,36,259994,259743,yes
1350,1163,37,63968,64433,yes
1351,1164,23,3003,2979,yes
1352,1165,19,2426,184,yes
1353,474,29,24714,24577,yes
1354,1166,22,1543,1516,yes
1355,397,35,236292,236829,yes
1356,1167,26,24378,24233,yes
1357,1168,24,6252,6174,yes
1358,1005,27,12449,12336,yes
1359,1169,25,12399,12177,yes
1360,1170,24,6126,6251,yes
1361,1171,27,49212,49094,yes
1362,1172,28,52904,49024,yes
1363,891,27,3066,3107,yes
1364,1173,23,407,375,yes
1365,1174,28,49027,49279,yes
1366,1175,26,12011,12572,yes
1367,1176,23,3020,3173,yes
1368,1177,26,24717,24471,yes
1369,1178,26,16259,12261,yes
1370,1179,29,105760,101914,yes
1371,1180,27,49564,49035,yes
1372,1181,25,12352,12355,yes
1373,1182,26,12184,12247,yes
1374,1183,23,3038,2994,yes
1375,1184,26,24750,24310,yes
1376,714,28,6156,6164,yes
1377,1185,26,12160,12087,yes
1378,1186,28,49473,49490,yes
1379,1187,27,12178,16294,yes
1380,1188,26,27873,24942,yes
1381,23,35,91741,91227,yes
1382,780,25,2943,3144,yes
1383,1189,37,189872,189914,yes
1384,513,27,6268,6150,yes
1385,1190,23,1582,1533,yes
1386,1191,28,24607,24826,yes
1387,1192,15,11,9,yes
1388,1193,27,49241,49530,yes
1389,1194,27,49235,49656,yes
1390,1195,25,12279,12422,yes
1391,1196,27,48732,48703,yes
1392,1197,26,24341,24394,yes
1393,1198,24,6292,6145,yes
1394,1199,25,6245,6045,yes
1395,1200,24,3069,2884,yes
1396,1201,22,1558,1576,yes
1397,1202,35,134011,134401,yes
1398,1203,27,24583,24372,yes
1399,1204,21,775,812,yes
1400,1205,26,24552,24491,yes
1401,630,29,24642,24443,yes
1402,1206,25,12298,12357,yes
1403,1207,27,24571,24599,yes
1404,1208,36,138425,138092,yes
1405,1209,27,24583,24590,yes
1406,392,31,24406,24792,yes
1407,1105,27,12546,12219,yes
1408,1210,26,24645,24412,yes
1409,1211,35,111050,110031,yes
1410,1212,23,3214,3132,yes
1411,1213,24,6180,6114,yes
1412,1214,21,813,771,yes
1413,1215,26,24625,24802,yes
1414,56,32,25068,24565,yes
1415,1216,22,787,752,yes
1416,1217,23,3032,3155,yes
1417,1218,26,24373,24454,yes
1418,1219,28,49368,49300,yes
1419,1220,26,24374,24391,yes
1420,1221,23,1469,1551,yes
1421,1222,25,6256,6101,yes
1422,566,28,6126,6187,yes
1423,1223,24,3009,3078,yes
1424,1224,24,6165,5975,yes
1425,1225,26,12313,12154,yes
1426,1119,25,12756,12368,yes
1427,1226,25,12291,12454,yes
1428,1227,27,24747,24895,yes
1429,206,27,12403,12838,yes
1430,1228,26,12362,12423,yes
1431,1229,22,787,827,yes
1432,1230,27,24867,24219,yes
1433,1231,35,104077,103825,yes
1434,395,28,12282,12269,yes
1435,1232,25,12217,12402,yes
1436,32,32,9339,9116,yes
1437,1233,22,786,798,yes
1438,1234,25,16210,12238,yes
1439,1235,27,53384,49133,yes
1440,1236,24,6243,6244,yes
1441,1237,23,1451,1584,yes
1442,990,26,24934,24734,yes
1443,1238,25,12486,12253,yes
1444,1239,24,6157,6100,yes
1445,1240,23,3073,3011,yes
1446,1241,23,1521,1561,yes
1447,1242,25,12468,12275,yes
1448,1243,25,6128,9907,yes
1449,1244,24,3037,3039,yes
1450,1245,25,19642,12138,yes
1451,1246,26,24518,24544,yes
1452,1247,27,12083,12552,yes
1453,1248,23,3072,3201,yes
1454,1249,25,6074,6057,yes
1455,1250,24,6136,6162,yes
1456,1251,25,6192,6041,yes
1457,1252,26,24268,28519,yes
1458,1253,24,6134,6105,yes
1459,1254,26,12345,12049,yes
1460,1255,24,6171,5971,yes
1461,640,30,28383,24656,yes
1462,438,36,56962,56912,yes
1463,1256,25,16445,12548,yes
1464,638,31,24748,24525,yes
1465,1257,21,419,461,yes
1466,1258,26,6244,6162,yes
1467,1259,27,32550,24583,yes
1468,1260,36,64653,64849,yes
1469,145,29,6186,6352,yes
1470,1261,25,3154,3109,yes
1471,1262,24,6092,6185,yes
1472,1263,26,6258,6201,yes
1473,1264,22,1562,1606,yes
1474,1265,27,24675,24427,yes
1475,1266,25,12194,12347,yes
1476,1267,27,49603,49393,yes
1477,1268,24,7949,6075,yes
1478,1011,24,1499,1495,yes
1479,1269,24,6166,6125,yes
1480,1270,25,12176,12268,yes
1481,972,28,28535,24308,yes
1482,1271,21,762,823,yes
1483,1272,27,24857,28231,yes
1484,427,35,66532,66953,yes
1485,1273,23,3164,3039,yes
1486,1274,25,12342,12514,yes
1487,1275,24,3211,3102,yes
1488,1276,37,68288,69132,yes
1489,1277,23,3075,6712,yes
1490,1278,21,751,776,yes
1491,770,29,12239,12470,yes
1492,1279,22,1548,1611,yes
1493,1280,25,5970,6106,yes
1494,1281,23,3086,3102,yes
1495,1282,25,6107,6216,yes
1496,1283,24,9967,6052,yes
1497,1284,24,6191,6200,yes
1498,1285,25,6256,6029,yes
1499,1286,24,3065,3082,yes
1500,1287,23,833,821,yes
1501,820,26,6106,6173,yes
1502,503,41,14170,14512,yes
1503,1288,38,11744,11763,yes
1504,1289,36,2537,2479,yes
1505,1290,26,24529,24572,yes
1506,1291,35,75823,75767,yes
1507,1292,36,68691,68685,yes
1508,1,37,81942,82353,yes
1509,1293,25,11990,12208,yes
1510,1294,23,3074,3102,yes
1511,1295,25,12332,12299,yes
1512,1296,26,24969,24330,yes
1513,310,31,4585,4551,yes
1514,702,27,12268,12151,yes
1515,1297,23,1509,1492,yes
1516,1298,24,2945,3079,yes
1517,1299,26,12152,12330,yes
1518,1300,26,12181,12336,yes
1519,1301,24,9811,6061,yes
1520,1302,36,37648,37126,yes
1521,1303,38,27915,28117,yes
1522,1304,25,6079,6159,yes
1523,1305,36,84300,84094,yes
1524,1306,38,72052,72875,yes
1525,1307,37,2564,2474,yes
1526,1308,37,12913,13050,yes
1527,1309,39,57181,56901,yes
1528,1310,36,73044,72989,yes
1529,1311,21,425,413,yes
1530,1148,25,6264,6174,yes
1531,1312,26,24367,24536,yes
1532,1313,23,3108,2993,yes
1533,516,28,16010,12271,yes
1534,1314,27,24729,24725,yes
1535,1315,36,51788,51719,yes
1536,1316,24,6057,6171,yes
1537,598,26,6277,6222,yes
1538,1317,35,52394,52245,yes
1539,1318,27,24614,24555,yes
1540,1319,22,1522,1539,yes
1541,1320,36,5076,5150,yes
1542,1321,35,80840,81048,yes
1543,1322,25,12970,12192,yes
1544,1323,35,85554,85634,yes
1545,1324,36,20897,21118,yes
1546,1325,26,28066,24790,yes
1547,446,28,24926,24516,yes
1548,1326,21,717,800,yes
1549,1327,25,6298,6105,yes
1550,1328,36,23499,23668,yes
1551,1329,22,765,806,yes
1552,1330,23,3020,3024,yes
1553,1331,38,60223,60890,yes
1554,1080,22,356,410,yes
1555,1332,25,12421,12323,yes
1556,1333,27,24597,24662,yes
1557,1334,23,3042,3117,yes
1558,1335,25,6136,6196,yes
1559,1336,25,6162,6087,yes
1560,1337,24,6202,6134,yes
1561,1338,36,94874,94486,yes
1562,329,36,4547,4705,yes
1563,1339,26,24573,28154,yes
1564,1340,37,50270,50342,yes
1565,984,27,12350,12167,yes
1566,1341,36,15086,15246,yes
1567,1342,23,3151,3157,yes
1568,1343,37,39479,39794,yes
1569,1344,24,6447,6168,yes
1570,1345,36,8402,8567,yes
1571,1346,40,35198,35376,yes
1572,1347,36,1868,1723,yes
1573,1348,36,47476,47569,yes
1574,1349,40,6830,6784,yes
1575,1350,39,4930,4739,yes
1576,1351,37,5376,5336,yes
1577,1352,39,9664,9837,yes
1578,632,37,1948,1948,yes
1579,1353,36,5535,5284,yes
1580,131,35,53419,53634,yes
1581,1354,26,6100,6179,yes
1582,1355,20,382,405,yes
1583,443,27,3151,3001,yes
1584,1356,24,6152,6255,yes
1585,437,29,24959,24668,yes
1586,1357,22,722,798,yes
1587,721,29,3062,3059,yes
1588,1358,23,3147,3082,yes
1589,739,27,12233,12235,yes
1590,1091,24,1546,1529,yes
1591,1359,24,6321,6132,yes
1592,1360,43,65046,65454,yes
1593,1361,37,19843,19862,yes
1594,1362,37,30938,31394,yes
1595,1363,36,6098,5867,yes
1596,1364,25,12422,12424,yes
1597,876,26,5985,6155,yes
1598,1365,23,2980,3192,yes
1599,738,28,6134,6214,yes
1600,1366,21,773,772,yes
1601,777,27,6135,6175,yes
1602,1367,23,769,782,yes
1603,1368,22,1550,1578,yes
1604,1369,26,12518,12257,yes
1605,1245,24,796,763,yes
1606,1370,25,12315,11987,yes
1607,1371,14,5,7,yes
1608,1372,23,3128,2996,yes
1609,1373,23,3077,3157,yes
1610,1374,25,5986,6189,yes
1611,218,28,3158,3179,yes
1612,1375,25,11985,12459,yes
1613,1376,24,2907,3019,yes
1614,1377,37,53859,53622,yes
1615,1378,23,3008,3134,yes
1616,1379,20,386,403,yes
1617,1380,26,12371,12508,yes
1618,1381,24,3038,3043,yes
1619,1195,24,1589,1492,yes
1620,1382,24,6255,6182,yes
1621,1383,24,3070,2992,yes
1622,1384,18,55,49,yes
1623,1385,18,88,82,yes
1624,1386,27,24397,24604,yes
1625,1387,18,92,102,yes
1626,1388,22,1515,1557,yes
1627,1389,22,1519,1475,yes
1628,1390,20,377,416,yes
1629,1391,24,6166,6286,yes
1630,1392,20,372,370,yes
1631,1393,25,6197,6142,yes
1632,1394,24,6106,6067,yes
1633,1395,25,12288,12067,yes
1634,1195,23,166,194,yes
1635,1396,24,6048,6212,yes
1636,1397,24,1497,1545,yes
1637,1398,25,12378,12357,yes
1638,731,28,12427,12375,yes
1639,1399,22,1636,1568,yes
1640,1400,27,12599,12270,yes
1641,1401,25,12268,12013,yes
1642,1402,25,12172,12241,yes
1643,1403,26,12225,12420,yes
1644,1404,25,6259,6066,yes
1645,1405,24,3116,3019,yes
1646,1406,22,804,747,yes
1647,1407,23,3173,2991,yes
1648,1408,24,6151,6414,yes
1649,1409,24,6226,5962,yes
1650,1410,20,430,366,yes
1651,1411,25,6206,6056,yes
1652,1412,24,6260,6071,yes
1653,1413,23,3094,2999,yes
1654,1414,24,6180,6273,yes
1655,1415,23,3131,3051,yes
1656,1416,24,6207,6110,yes
1657,1417,22,383,374,yes
1658,1418,36,16693,16814,yes
1659,338,29,27013,24497,yes
1660,1419,24,6173,6089,yes
1661,694,26,6065,6121,yes
1662,687,27,6169,9788,yes
1663,1420,25,6038,9774,yes
1664,1421,22,769,4261,yes
1665,1422,24,9992,6263,yes
1666,1423,24,6599,3030,yes
1667,1424,18,111,118,yes
1668,1425,26,12506,12386,yes
1669,1426,24,3038,2952,yes
1670,1427,23,3146,3097,yes
1671,1428,22,795,736,yes
1672,1196,26,6005,6191,yes
1673,890,27,12320,12484,yes
1674,1429,22,1527,1575,yes
1675,1430,23,3074,3093,yes
1676,1431,24,3086,3045,yes
1677,1432,23,3082,3132,yes
1678,1160,24,1573,1468,yes
1679,1433,26,12304,12385,yes
1680,1434,25,6176,6250,yes
1681,1435,23,2974,3148,yes
1682,1436,19,360,174,yes
1683,1437,24,6141,6066,yes
1684,119,29,6177,6429,yes
1685,1438,23,3033,3132,yes
1686,1439,23,3149,3049,yes
1687,678,30,12478,11945,yes
1688,1440,23,1532,1470,yes
1689,1441,24,3033,3193,yes
1690,1442,24,6149,6258,yes
1691,1443,18,100,106,yes
1692,1444,21,367,396,yes
1693,1445,25,12322,12741,yes
1694,785,23,401,397,yes
1695,1446,23,3078,3012,yes
1696,1252,25,3069,3034,yes
1697,1447,24,3092,3042,yes
1698,1448,23,3079,3144,yes
1699,73,30,6082,6090,yes
1700,1417,23,3081,3033,yes
1701,1449,22,1492,1626,yes
1702,1450,24,3063,3141,yes
1703,1367,24,6169,6116,yes
1704,1451,24,6125,5985,yes
1705,1452,25,12433,12243,yes
1706,1453,25,12259,12112,yes
1707,1454,23,3041,3003,yes
1708,1455,22,1528,1520,yes
1709,790,27,1530,1472,yes
1710,1456,22,366,469,yes
1711,678,29,1185,1091,yes
1712,1457,25,6153,6220,yes
1713,977,25,3031,3054,yes
1714,1458,23,1514,1544,yes
1715,1459,23,1843,1491,yes
1716,1460,24,3088,3017,yes
1717,1461,21,832,775,yes
1718,1462,26,12301,12236,yes
1719,951,26,6466,6230,yes
1720,1463,22,1586,1537,yes
1721,1464,23,749,767,yes
1722,1465,21,806,754,yes
1723,1466,25,6191,6508,yes
1724,1467,23,3122,2979,yes
1725,1468,24,6091,6179,yes
1726,1469,22,1497,1532,yes
1727,1470,22,1524,1621,yes
1728,1471,23,1665,1509,yes
1729,1472,36,42052,42151,yes
1730,1473,21,378,412,yes
1731,1474,24,2983,3173,yes
1732,1475,22,1518,1557,yes
1733,1071,26,3082,3005,yes
