format=v2.tables.scan.v1  Qwen3-1.7B, every table read word by word (bf16: sign bit 15, exponent bits 14..7, mantissa bits 6..0)
[B] 'any 0' read as: any value that reads 0.… ; ×(2×5) = times the whole table is multiplied until none does
table                                            shape          values       zeros   smallest        ×(2×5)  largest
model.layers.13.self_attn.q_norm.weight          128            128          0       194/2^13        2       198/2^5
model.layers.13.self_attn.q_proj.weight          2048x2048      4194304      0       196/2^34        8       221/2^9
model.layers.13.self_attn.v_proj.weight          1024x2048      2097152      0       137/2^32        8       221/2^10
model.layers.14.input_layernorm.weight           2048           2048         0       198/2^22        5       166/2^4
model.layers.14.mlp.down_proj.weight             2048x6144      12582912     0       219/2^36        9       169/2^8
model.layers.14.mlp.gate_proj.weight             6144x2048      12582912     0       137/2^34        9       199/2^8
model.layers.14.mlp.up_proj.weight               6144x2048      12582912     0       242/2^37        9       141/2^8
model.layers.14.post_attention_layernorm.weight  2048           2048         0       207/2^24        5       254/2^7
model.layers.14.self_attn.k_norm.weight          128            128          0       233/2^21        4       195/2^4
model.layers.14.self_attn.k_proj.weight          1024x2048      2097152      0       202/2^34        8       131/2^8
model.layers.14.self_attn.o_proj.weight          2048x2048      4194304      0       237/2^34        8       133/2^8
model.layers.14.self_attn.q_norm.weight          128            128          0       206/2^14        2       204/2^5
model.layers.14.self_attn.q_proj.weight          2048x2048      4194304      0       167/2^33        8       201/2^9
model.layers.14.self_attn.v_proj.weight          1024x2048      2097152      0       170/2^32        8       194/2^10
model.layers.15.input_layernorm.weight           2048           2048         0       171/2^22        5       231/2^4
model.layers.15.mlp.down_proj.weight             2048x6144      12582912     0       136/2^37        10      189/2^8
model.layers.15.mlp.gate_proj.weight             6144x2048      12582912     0       178/2^35        9       187/2^8
model.layers.15.mlp.up_proj.weight               6144x2048      12582912     0       180/2^35        9       139/2^8
model.layers.15.post_attention_layernorm.weight  2048           2048         0       145/2^23        5       245/2^7
model.layers.15.self_attn.k_norm.weight          128            128          0       165/2^18        4       176/2^3
